"radionuclide","t12_yr","exposure_pathway","physical_chemical_form","age_group","tissue_endpoint","dose_coefficient_Sv_per_Bq","notes","source"
"Ru-106","1.023","ingestion","soluble","adult","effective","7.0E-09","Much lower than Cs or Sr per Bq; large intestine and bone surface are target tissues; biological half-time in GI ~2-4 days; Ru does not bioaccumulate strongly; 73 PBq released 1986 but mostly decayed by 1990; 2017 Ru-106 event: European population dose negligible","ICRP 72 1996; ru106_2017_europe_REAL.csv"
"Ru-106","1.023","inhalation","Type_F_fast","adult","effective","6.2E-08","Higher than ingestion due to lung dose; some species of Ru are very soluble (Ru oxide/hydroxide); 2017 European event estimated max individual dose <0.1 mSv even in Romania at detection maximum","ICRP 68 1994; ICRP 72 1996"
"Te-132","0.00893","ingestion","soluble","adult","effective","3.8E-09","Te-132 parent of I-132; 1150 PBq released; short-lived; ingested Te-132 converts to I-132 in thyroid; combined Te-132+I-132 dose pathway relevant in first days post-accident; Te-132 GI conversion to I-132 adds to direct I-131 thyroid dose","ICRP 72 1996; radioactive_decay_chains_REAL.csv"
"Sr-89","0.137","ingestion","soluble","adult","effective","2.6E-09","Sr-89 t1/2=50.5 days; 115 PBq released; short-lived bone dose contributor; only relevant 1986-1988; decayed to negligible by 1990; bone dose in first year was significant addition to Sr-90 bone dose","ICRP 72 1996; 01_source_term_REAL.csv"
"Ba-140","0.0349","ingestion","soluble","adult","effective","2.7E-09","Ba-140 t1/2=12.75 days; 240 PBq released; parent of La-140 (t1/2=40hr); Ba-140/La-140 secular equilibrium; bone-seeker (like Sr but less avidly); decayed within 6 months; relevant only for immediate 1986 dose near plant","ICRP 72 1996; 01_source_term_REAL.csv"
"Xe-133","0.0144","inhalation","noble_gas_Type_F","adult","effective","1.4E-10","Very low dose coefficient because noble gas Xe-133 does not fix in tissues; passes through body rapidly; but 6500 PBq released and spread globally; external exposure (cloud shine/ground shine) more significant than internal; gave radiation sickness symptoms to people in plume","ICRP 72 1996; 01_source_term_REAL.csv"
"Pu-241","14.35","ingestion","Type_S_oxide","adult","effective","4.8E-11","Low dose coefficient because Pu-241 is primarily beta emitter (0.021 MeV) with no alpha; 2.6 PBq released; health significance mainly through ingrowth to Am-241 (not via Pu-241 dose itself); 50-year commitment minor; 100-year commitment via Am-241 daughter is significant","ICRP 72 1996; am241_ingrowth_timeseries_REAL.csv"
"Cs-137_child_ratio","30.17","ingestion_ratio","soluble_cesium","10_year_old_vs_adult","effective_ratio","2.1","Children 10yr receive 2.1x adult effective dose per Bq Cs-137 ingested; combined with children's higher consumption of fresh foods → explains higher Cs-137 body burdens in children (cs137_body_burden_ukraine_REAL.csv: teenagers highest group)","ICRP 72 Table comparison"
"I131_KI_protection","0.0220","thyroid_blockade","potassium_iodide_tablet","all_ages","thyroid_dose_reduction","0.90","KI tablet (stable iodine) given within 2 hours of exposure blocks thyroid I-131 uptake by >90%; effectiveness decreases rapidly after exposure: 50% blockade if given 6h late; <10% if given 24h late; only Poland in USSR bloc distributed KI — explains dramatically lower Polish thyroid cancer rates","WHO KI guidelines; decontamination_countermeasures_REAL.csv"
"external_ambient_dose","","external_ground","Cs137_Ba137m_secular_equilibrium","adult","effective_per_hour_per_kBq_m2","0.0043","Approximate effective dose rate (µSv/hr) per kBq/m2 of Cs-137 in soil; used for dose rate → deposition conversion; Prypiat ~1145 kBq/m2 Cs-137 in 1986 → 4.9 µSv/hr now consistent with SaveEcoBot readings; geometric mean for standard soil buildup factor","IAEA Safety Reports; ICRP 144 2020; modern_monitoring_REAL.csv"
