"effect_category","specific_effect","metric_or_finding","value","units_or_confidence_interval","cohort_or_study_size","dose_range_or_mean","comparison_group","significance","source"
"leukemia","absolute_excess_cases","30_to_40","estimated_cases","In full liquidator cohort; excess above background; latency 2-5 years peak; decreasing to background by ~15 years post-exposure","~200000_liquidators","mean_117_mGy","statistical_projection","consistent_across_cohort_studies","UNSCEAR 2008; Cardis 1995; WHO Chernobyl Legacy 2005"
"thyroid_disorders_benign","thyroid_nodule_prevalence","2_to_5_fold_elevated","fold_increase_vs_controls","Ultrasound screening; partly detection bias from intensive surveillance; partly real radiation-induced effect; background iodine deficiency in region complicates interpretation; nodule ≥1cm threshold varies by study","thousands_screened","thyroid_dose_range_wide","uncontaminated_Ukrainian_and_Belarusian_controls","mixed_evidence_some_studies_significant","UNSCEAR 2008 Annex D Table D18; Tronko MD 2005 J Clin Endocrinol Metab PMID:15972577; WHO 2006"
"thyroid_disorders_benign","hypothyroidism_prevalence","elevated_in_evacuees","qualitative","Autoimmune thyroiditis (Hashimoto) and overt hypothyroidism prevalence elevated in some contaminated populations; anti-TPO antibody elevation documented; possible radiation-induced thyroiditis pathway; evidence considered weaker than malignant thyroid effects","Ukrainian_evacuee_cohorts","thyroid_I-131_doses_0_to_>5_Gy","uncontaminated_controls","suggestive_not_conclusive","Tronko M et al. J Clin Endocrinol Metab 2005; Vykhovanets 2004; UNSCEAR 2008 para D393"
"neurological_effects","radiation_neurotoxicity_cognitive_deficit","dose-dependent_cognitive_impairment","significant_in_>500_mGy_subgroup","Cognitive tests (attention memory executive function) show dose-dependent deficit; strongest in liquidators with estimated doses >500 mGy; confounded by PTSD stress alcohol consumption; Ukrainian Loganovsky studies most rigorous","Ukrainian_liquidator_neurological_cohort","range_10_to_>1000_mGy","general_Ukrainian_male_population","significant_in_high-dose_subgroup","Loganovsky KN et al. Int J Radiat Biol 2008;84(10):877-85 doi:10.1080/09553000801888929 PMID:18608569"
"neurological_effects","cerebrovascular_events","elevated_stroke_and_TIA_in_liquidators","qualitative_elevated","Cerebrovascular events (stroke TIA) elevated in high-dose liquidators; consistent with radiation-induced accelerated atherosclerosis; overlaps with CVD effects; specific cerebrovascular ERR/Gy not well-established in Chernobyl data","Ukrainian_and_Russian_liquidator_cohorts","mean_~115_mGy","general_male_population","elevated_in_descriptive_studies","Loganovsky 2008; Ivanov 2019; UNSCEAR 2008"
"neuropsychiatric_effects","PTSD_and_anxiety_disorders","primary_health_burden","see_neuropsychiatric_longterm_health_REAL.csv","Cross-reference: mental health effects are THE primary identified health burden per WHO 2006; PTSD anxiety depression in liquidators and evacuees documented extensively","~600000_liquidators_plus_evacuees","dose_range_wide_psychosocial_pathway","unaffected_general_population","primary_documented_health_impact","neuropsychiatric_longterm_health_REAL.csv; WHO Chernobyl Forum 2006"
"skin_radiation_injury","acute_beta_radiation_dermatitis","confirmed_cases_1986","over_100","cases_receiving_clinical_treatment","subset_of_134_ARS_patients","local_beta_doses_many_Gy_to_skin (surface contamination)","no_comparison_needed_acute_clinical","clinical_observation","Barabanova AV 2004 Int J Radiat Med; Gottlober P 2001 J Eur Acad Dermatol; UNSCEAR 2008; ars_cases_REAL.csv"
"skin_radiation_injury","beta_burn_pathology","erythema_vesiculation_desquamation","qualitative","Beta burns from fallout deposited on skin of firefighters and first responders; primarily lower legs (unlaced boots); facial burns from fallout; permanent hair loss in severe cases; surgical debridement and skin grafting required for deepest burns; most cases resolved with treatment","~100_severe_cases_plus_milder_cases","local_beta_surface_dose_5_to_>30_Gy_locally","N/A","clinical_case_series","Barabanova 2004; Moscow Hospital No.6 clinical records; IAEA Safety Reports Series 2011"
"immune_effects","lymphocyte_subset_changes","persistent_immune_alterations","qualitative","CD4/CD8 ratio changes; reduced NK cell cytotoxicity; altered B-cell subset distribution documented in high-dose liquidators years to decades post-exposure; clinical relevance uncertain; no documented increased infection susceptibility confirmed at population level","~300_immunology_study_participants","mean_>400_mGy_in_immunology_cohort","age-matched_Ukrainian_males","statistically_significant_in_some_measures","Bebeshko VG 2003; Bazyka DA et al.; UNSCEAR 2008 para D410-D430"
"hereditary_effects","heritable_mutations_or_birth_defects","UNSCEAR_conclusion","no_increase_detected","Qualitative: no statistically significant increase in congenital malformations chromosomal aberrations or heritable mutations in children of liquidators or contaminated-area residents; see birth_defects_general_health_REAL.csv; theoretical risk exists per LNT but below detection","tens_of_thousands_births_analyzed","parental_mean_dose_~115_mGy","unirradiated_control_populations","not_statistically_significant_above_background","UNSCEAR 2001 Report; UNSCEAR 2008 Annex D; birth_defects_general_health_REAL.csv"
"non-cancer_mortality","all-cause_mortality_excess","SMR_elevated","1.1_to_1.5_range","Standardized mortality ratio elevated in liquidators vs general population; causes: radiation-induced CVD; psychosocial factors (alcohol suicide); post-Soviet health system decline; aging cohort; not all attributable to radiation; radiation-attributable fraction estimated 15-20% of excess mortality","53772_Russian_liquidators_(Ivanov)","mean_107_mGy","Russian_general_population","p<0.05_multivariable_analysis","Ivanov VK et al. multiple cohort papers 1997-2019; UNSCEAR 2008 Annex D"
