outcome,cohort,study_period,n_cases,n_controls_or_cohort_size,ERR_per_Gy,ERR_90CI_low,ERR_90CI_high,RR_at_1Gy,RR_90CI_low,RR_90CI_high,notes,source
dose_distribution_main_cohort,Belarus,study_period,,,,,,"Median dose Belarus=5.91 mGy; much lower than Russia median 91.1 mGy; drives lower ERR in Belarus subgroup","-","-","Dose heterogeneity between countries major confounder",PMC2904977
dose_distribution_main_cohort,Russian Federation,study_period,,,,,,"Median dose Russia=91.1 mGy; highest national median; large variation by mission type and year","-","-","1986 workers had highest doses (avg 146 mGy per UNSCEAR)",PMC2904977
dose_distribution_main_cohort,Baltic_countries,study_period,,,,,,"Median dose Baltic=43.5 mGy","-","-","Small cohort ~15000; adequate for sub-analysis",PMC2904977
ARS_all_cases,On-site workers,1986-04-26,134,,,,,"134 confirmed ARS cases; originally 237 diagnosed but 103 were downgraded after dose review; doses 0.8-16 Gy","-","-","Grade I-IV ARS; bone marrow syndrome dominant at lower doses; GI syndrome at >6 Gy",WHO; WNA; UNSCEAR 2008
ARS_deaths_acute,On-site workers,1986-04 to 1986-07,28,,,,,"28 died within first 3 months post-accident (ARS grades III-IV; severe/very severe)","-","-","Causes: bone marrow failure + thermal burns + beta burns to skin; Moscow Hospital No.6 treated 237 initial admissions",WNA; CNSC
ARS_deaths_subsequent,ARS survivors,1987-2004,19,,,,,"19 additional deaths 1987-2004 among ARS survivors; causes not necessarily radiation-related","-","-","Total ARS-related deaths uncertain; 28 definite + up to 2 later from radiation causes per UNSCEAR",WNA; UNSCEAR 2008
ARS_bone_marrow_transplants,ARS severe cases,1986,13,,,,,"13 bone marrow transplants performed at Moscow Hospital No.6; only 2 engrafted successfully; most patients died from burns before marrow failure","-","-","Dr. Angelina Gus'kova led treatment; BMT had marginal effect given concurrent thermal/beta burns",UNSCEAR 2008; Chernobyl Forum 2005
ARS_dose_range,On-site workers,1986-04-26,134,,,,,"Dose range confirmed ARS cases: 0.8-16 Gy whole body equivalent; >16 Gy = lethal; highest doses in reactor operators on duty and first responder firefighters","-","-","Dose estimates retrospective; individual film badges often saturated or absent",UNSCEAR 2008
ARS_plant_workers,On-site at 01:23,1986-04-26,600,,,,,"~600 workers on site at time of explosion; 134 received doses 0.8-16 Gy causing ARS; rest received lower doses","-","-","First responders (firefighters) arrived within minutes; highest doses in those near reactor 4 roof",WNA; Chernobyl Forum 2005
liquidator_all_causes_mortality,525000_total_registered,1986-2005,,,,,,"No excess all-cause mortality demonstrated at cohort level; life expectancy of liquidators within normal range for population after accounting for confounders","-","-","Strong healthy worker effect; liquidators were relatively healthy at selection; controlling for smoking/alcohol confounding difficult",UNSCEAR 2008; Chernobyl Forum 2005
solid_tumors_liquidators,Ukraine_liquidator_registry,1986-2015,,,,,,"No statistically significant excess solid tumors in liquidator cohort attributable to radiation through ~2015; expected based on LNT: small excess cancers predicted to manifest over 30+ years","-","-","LNT model predicts eventual excess; latency 10-40 years for solid tumors; ongoing monitoring required",UNSCEAR 2008; Chernobyl Forum 2005
