"parameter","location_or_context","year","value_low","value_high","value_typical","units","notes","source"
"invasion_dose_spike","CEZ monitoring network","2022-02-24","","","70x_background","factor","Gamma dose rates up to 70x average on day 2 of invasion (24 Feb 2022); caused by military vehicles disturbing upper soil layer; NOT a reactor release","NEA/CRPPH/R(2024)3; ScienceDirect 2023 doi:10.1016/j.scitotenv.2022.158294"
"invasion_monitoring_loss","CEZ monitoring network","2022-02-26","","","","offline","Online transfer of monitoring data lost 26 Feb 2022; made radiation situation control impossible; restored after Russian retreat","NEA/CRPPH/R(2024)3"
"invasion_power_loss","ChNPP all facilities","2022-03-09","","","","grid_power_lost","External grid power lost 9 March 2022; emergency diesel generators activated; risk to spent fuel pool heat removal; staff held hostage since 24 Feb","NEA/CRPPH/R(2024)3"
"invasion_hostages","ChNPP operators","2022-02-24 to 2022-03-20","","","92","persons","92 ChNPP operators held hostage for ~25 days; maintained all safety systems at gunpoint; rotation only possible from 20 March 2022","NEA/CRPPH/R(2024)3"
"invasion_monitoring_restored","CEZ monitoring network","2022-04 onwards","","","","normal","Monitoring restored after Russian retreat April 2022; surveys confirmed radiation situation in accessible CEZ consistent with pre-war measurements","NEA/CRPPH/R(2024)3"
"Cs137_in_firewood","Liberation_zone_Kyiv_region","2022","","","detected","qualitative","Cs-137 detected in ash from furnaces in liberated Kyiv region houses; wood contaminated by 1986 fallout; no evacuation-zone exceedances found","NEA/CRPPH/R(2024)3 survey results"
"SNF_inventory_ChNPP","ChNPP all units","2024","","","21000","spent_fuel_assemblies",">21000 spent fuel assemblies stored on site; plus ~2500 m3 solid radioactive waste + ~19000 m3 liquid radioactive waste","SNRIU via NEA/CRPPH/R(2024)3"
"BfS_remapping_campaign","CEZ","September_2021","","","200","ground_measurement_points","BfS September 2021 helicopter + ground remapping; ~100 km2 surveyed; first comprehensive remapping since 1990s; published April 2022 on 36th anniversary","BfS 2022 Press Release"
"decay_Cs137_2026","Global_inventory","2026","","","59","percent_remaining","40yr = ~1.33 half-lives (t1/2=30.17yr); ~59% of 1986 Cs-137 inventory remains in 2026","Calculated from t1/2=30.17yr"
"decay_Sr90_2026","Global_inventory","2026","","","58","percent_remaining","40yr = ~1.39 half-lives (t1/2=28.8yr); ~58% of 1986 Sr-90 remains in 2026","Calculated from t1/2=28.8yr"
"soil_depth_migration","CEZ soils","2020","","",">90% in top 20cm","depth_fraction",">90% of Cs-137 inventory still in upper 20cm after 35 years; Pu and Am even less mobile; Sr-90 somewhat more mobile in acidic Polesie soils","Bugai 2022 Scientific Reports"
"dose_rate_Prypiat_current","Prypiat_city_CEZ","2026-04-13","","","4.932","µSv/h","SaveEcoBot real-time; Ukrainian HydroMet sensor; 4.932 µSv/h = ~43 mSv/yr; ~20x above European background","SaveEcoBot.com/en/radiation/chornobyl-exclusion-zone; Ukrainian Hydrometeorological Centre 2026"
"dose_rate_Kryva_Hora_current","Kryva_Hora_CEZ","2026-04-13","","","0.313","µSv/h","SaveEcoBot real-time; Kryva Hora CEZ village","SaveEcoBot.com 2026"
"dose_rate_Buriakivka_current","Buriakivka_CEZ","2026-04-13","","","0.367","µSv/h","SaveEcoBot real-time; near CEZ waste storage facilities","SaveEcoBot.com 2026"
"dose_rate_Stari_Shepelychi_current","Stari_Shepelychi_CEZ","2026-04-13","","","0.256","µSv/h","SaveEcoBot real-time measurement","SaveEcoBot.com 2026"
"dose_rate_Chornobyl_city_current","Chornobyl_city_CEZ","2026-04-13","","","0.209","µSv/h","SaveEcoBot real-time; Chornobyl city 14km from reactor; within 30km zone","SaveEcoBot.com 2026"
"dose_rate_Strakholissia_current","Strakholissia_CEZ","2026-04-13","","","0.1","µSv/h","Approaching natural European background","SaveEcoBot.com 2026"
"dose_rate_Korohod_current","Korohod_CEZ","2026-04-13","","","0.091","µSv/h","Near natural background; peripheral CEZ area","SaveEcoBot.com 2026"
"Cs137_soil_CEZ_NPP_site","Chornobyl_NPP_industrial_site","2025","","","400","MBq_per_m2","400 MBq/m2 = 400000 kBq/m2; among highest accessible measurements; SaveEcoBot source","SaveEcoBot.com 2026"
"NSC_drone_strike_damage","New_Safe_Confinement","2025-02","","","","qualitative","NSC sustained damage from drone strike February 2025; temporary repairs planned for September 2025; no radiation release detected","SaveEcoBot.com/ScienceInsights 2025; Chornobyl NPP news"
"NSC_power_loss_event","New_Safe_Confinement","2025-10","","","16","hours_power_loss","NSC 16-hour power loss October 2025; restored; contingency power systems functioned; no radiation release","Chornobyl NPP official news 2025"
"new_dosimetry_system_OSL","Chornobyl_NPP","2025-09","","","","qualitative","Mirion Technologies optically stimulated luminescence (OSL) dosimetry system installed September 2025","Chornobyl NPP official news Sep 2025"
"CEZ_farmable_area_2025","Outer_CEZ_boundary","2025-05","","","100","hectares","~100 hectares in outer CEZ dropped below safe farming contamination threshold May 2025; ongoing radioactive decay allowing partial return","SaveEcoBot/Chornobyl news 2025"
"cooling_pond_control_dose_rate","ChNPP_cooling_pond_control_area","2025","","0.07","","µGy_per_h","Control water bodies in cooling pond study (IJRB 2025): absorbed dose <=0.07 µGy/h; bank voles (Myodes glareolus) monitored for hematological impacts","IJRB doi:10.1080/09553002.2025.2505529"
"cooling_pond_contaminated_dose_rate","ChNPP_cooling_pond_contaminated","2025","30","40","35","µGy_per_h","Contaminated areas in cooling pond former bed; 30-40 µGy/h absorbed dose rates; Cs-137 and Sr-90 measured in soil and bank vole tissue","IJRB doi:10.1080/09553002.2025.2505529"
"SaveEcoBot_network_size","Ukraine_nationwide","2024","","","500","monitoring_stations","500+ monitoring stations across Ukraine; hourly updates; RADNOTE deployment began May 2024; 25+ units by July 2024 in Kyiv/CEZ/Lviv","SaveEcoBot.com; Safecast Ukraine network 2024"
"Pripyat_hospital_basement_dose","Pripyat_hospital_basement","2024","","386","","µSv_per_h","Pripyat hospital basement >386 µSv/h; first responders changed contaminated clothing here April 26 1986; highly localized extreme hotspot","ScienceInsights 2024; CEZ tourism monitoring"
"dose_projection_outer_30km_2050s","30km_CEZ_outer_zone","~2055","","5","","mSv_per_yr","Outer 30km zone projected to drop below 5 mSv/yr (Ukraine restriction criterion) by mid-2050s as Cs-137/Sr-90 decay; Red Forest hotspots remain >100 mSv/yr well past 2100","BfS 2022 + decay projection"
"dose_projection_30km_2080","30km_CEZ_outer_zone","~2080","","1","","mSv_per_yr","Most of 30km belt projected to meet IAEA 1 mSv/yr public dose reference level by 2080; assumes no major wildfire events; Am-241 peak 2058 adds minor component","IAEA projections; BfS 2022; decay calculation"
