"category","key_number","value","units_or_context","derivation_or_source","cross_reference_file","notes"
"health","ARS_cases","134","persons","UNSCEAR 2008","ars_cases_REAL.csv; chernobyl_first_responders_medical_REAL.csv","134 confirmed ARS; 28 deaths within 3 months; 13 BMT attempted; 2 engrafted; all died"
"health","thyroid_cancer_cases","6000_plus","persons_attributable","UNSCEAR 2017","thyroid_cancer_timeseries_REAL.csv; nci_ukraine_thyroid_cohort_REAL.csv","~15 deaths; >98% survival rate; 95% papillary histology; ERR/Gy=1.91 from UkrAm cohort"
"health","leukemia_excess","100_to_200","cases_estimated","UNSCEAR 2008; A-EURECA","liquidator_health_outcomes_REAL.csv","ERR/Gy~1.7-2.0; latency peak 1991-2000; past peak; confirmed statistically"
"health","ICRP_cataract_threshold","0.5","Gy","ICRP 118 2012; changed from 2 Gy based on Chernobyl Worgul 2007 study","liquidator_noncancer_effects_REAL.csv; stochastic_deterministic_effects_REAL.csv","Changed global occupational eye dose limit from 150 mSv/yr to 20 mSv/yr"
"health","liquidator_mean_dose","117","mSv","UNSCEAR 2008 Table B19","unscear_liquidator_doses_REAL.csv","Mean of ~600,000 liquidators; = 49yr global average natural background (2.4 mSv/yr)"
"environment","Cs137_contamination_area_Europe","125000","km2_above_37_kBq_per_m2","De Cort 1998 EUR 16733","contamination_zones_REAL.csv; european_deposition_REAL.csv","France 0.3%; Belarus 22.5% of territory; Ukraine 7.7%; Russia 4.2%"
"environment","Am241_current_CEZ","still_growing","TBq_total","am241_ingrowth_timeseries_REAL.csv Bateman equations","am241_ingrowth_timeseries_REAL.csv","2026 value ~76 TBq; growing toward 82.7 TBq peak in 2058.7"
"environment","Red_Forest_Cs137_peak","4000_to_10000","kBq_per_m2","Kashparov 2003","red_forest_waste_sites_REAL.csv; cez_near_field_deposition_REAL.csv","Highest Cs-137 deposition outside Unit 4 footprint; killed 400 ha of pine forest 1986"
"environment","Pripyat_dose_rate_2026","4.932","microSv_per_hour","SaveEcoBot April 2026","modern_monitoring_REAL.csv","~43x global average natural background of 0.11 µSv/hr; still very elevated but declining"
"environment","wildfire_2020_Cs137_release","630","GBq","Evangeliou 2016 model + 2020 fire data","wildfire_resuspension_REAL.csv","0.0007% of remaining inventory; but detectable in Poland and Kyiv air monitoring"
"water","Kakhovka_dam_breach","2023-06-06","date","IAEA Update June 2023","dnieper_river_contamination_REAL.csv","No threat to ZNPP cooling; CEZ Sr-90 monitoring elevated post-breach; Dnieper radionuclide flux increased"
"water","Baltic_sea_current_Cs137","20_to_50","Bq_per_m3","HELCOM 2022","baltic_sea_contamination_REAL.csv","Down from 100-500 Bq/m³ peak 1987; residence time 25-35yr; still above pre-Chernobyl level"
"water","Black_sea_Cs137","56","Bq_per_m3","Mirzoyeva 2013","black_sea_contamination_REAL.csv","Permanent chemocline at 100-150m confines activity to surface layer; fish below EU limits"
"decommissioning","NSC_dimensions","108x162x257","meters","EBRD NSC documentation","chernobyl_shelter_sarcophagus_REAL.csv","36,000t; largest movable land structure ever built; slid Nov 29 2016; 100yr design life"
"decommissioning","target_year","2064","year","Energoatom plan","chernobyl_decommissioning_physics_REAL.csv","78yr from accident; activated graphite (C-14 t½=5730yr) is long-term challenge"
"war","ZNPP_occupation_date","2022-03-04","date","IAEA Update","zaporizhzhia_npp_2022_2025_REAL.csv","First nuclear plant seized in active combat; all 7 IAEA safety principles violated Nov 2022"
"war","Chernobyl_2022_spike","70x_normal","dose_rate_multiplier","SaveEcoBot 2022-02-25","modern_monitoring_REAL.csv","Vehicle disturbance of contaminated soil; not reactor release; returned to normal in 48hr"
"war","NSC_drone_damage","2025-02-14","date","NEA 2024; EBRD","modern_monitoring_REAL.csv; chernobyl_shelter_sarcophagus_REAL.csv","6m breach in outer shell; EUR31M repair needed; structural integrity maintained"
"context","nuclear_tests_Cs137","948","PBq","UNSCEAR 2000","nuclear_context_comparison_REAL.csv","11x Chernobyl; demonstrates Chernobyl = ~1/11 of global testing burden from Cs-137 alone"
"context","Fukushima_Cs137","15_to_20","PBq","UNSCEAR 2013","fukushima_chernobyl_comparison_REAL.csv","~1/5 of Chernobyl Cs-137 release; containment held for most of inventory"
"context","natural_K40_body_burden","4400","Bq_in_body","ICRP 23; UNSCEAR","natural_background_radiation_REAL.csv","Human body contains 4400 Bq K-40 naturally; ~20x current typical Ukrainian Cs-137 body burden"
