"category","parameter","value","units","date_or_period","context","notes","source"
"sediment_inventory","Sr90_bottom_sediments","2.4E12","Bq","2012_survey","Sr-90 total inventory in cooling pond bottom sediments; ± 0.48 TBq; = 2.4 TBq; 80% associated with fuel particles","Lower sorption fraction than Cs-137; ~80% of sediment Sr-90 in fuel particle matrix (slowly dissolving); fuel particle dissolution = slow-release Sr-90 source for decades","Distribution and Dynamics Springer 2020; fuel_particle_contamination_REAL.csv"
"sediment_inventory","Pu239_240_bottom_sediments","5.18E9","Bq","2012_survey","Pu-239+240 in cooling pond sediments; = 5.18 GBq; ± 1.48 GBq; >80% in fuel particles","Pu extremely insoluble; >80% Am-241 in sediments also in fuel particle matrix; minimal Pu/Am dissolved in water; not primary environmental concern for distant areas","Distribution and Dynamics Springer 2020; IAEA TECDOC-1886"
"sediment_chemistry","Sr90_dissolved_fraction","20","percent","2000_to_2012","~20% of total Sr-90 in water/porewater + exchangeable fraction vs ~80% in non-exchangeable (fuel particle) form","Low dissolution rate attributed to slightly alkaline pH from calcium carbonate from zebra mussel (Dreissena) shell residues; unique geochemistry of cooling pond","IAEA TECDOC-1886; Distribution and Dynamics Springer 2020"
"fish_contamination","max_Cs137_1986_cooling_pond","500000","Bq_per_kg_wet","1986","Peak Cs-137 in fish in cooling pond immediately post-accident; all species affected; levels not representative of sustained values","By 1987 most fish had died from radiation; surviving populations showed rapid decrease in Cs-137 as short-lived isotopes decayed","Distribution and Dynamics; Aquatic contamination Chernobyl 1986"
"fish_contamination","predatory_fish_Cs137_1987","1500_to_2000","Bq_per_kg_wet","1987","Cs-137 in pike and perch 1987; 1-2 kBq/kg wet weight; EU limit is 1250 Bq/kg for fish","Predatory fish (pike perch) 2-3x higher than non-predatory due to biomagnification through food chain; catfish also highly elevated","Aquatic ecology studies Chernobyl; cez_wildlife_contamination_REAL.csv"
"fish_contamination","predatory_fish_Cs137_1990","20_to_400","Bq_per_kg_wet","1990","Cs-137 in cooling pond predatory fish 1990 (4 years post-accident); wide range; mean ~100 Bq/kg","Rapid decline 1986-1990 from radioactive decay of short-lived isotopes; remaining Cs-137 from environmental pool; slow further decline","Aquatic ecology; cez_wildlife_contamination_REAL.csv"
"fish_contamination","predatory_fish_Cs137_2000","200_to_400","Bq_per_kg_wet","2000","Cs-137 in cooling pond predatory fish ~2000; elevated vs 1990 despite radioactive decay","Paradoxical slight increase: ecosystem recovery (more fish using sediment layer) + continued Cs-137 cycling from sediments + biomagnification through recovered food chain","Aquatic ecology studies"
"fish_contamination","CEZ_lake_perch_Cs137_2016","7844","Bq_per_kg_wet","~2016","Perch Cs-137 in CEZ lakes approximately 30 years post-accident; mean 7844 ± 899 Bq/kg wet weight","Still 6x EU limit (1250 Bq/kg); forests and unmaintained water bodies maintain high Cs-137 bioavailability; mirroring wild boar pattern; ACS Environ Sci Tech 2018","ACS Environ Sci Technol 2018 doi:10.1021/acs.est.8b02378; cez_wildlife_contamination_REAL.csv"
"fish_contamination","Kiev_reservoir_perch_Cs137_2001","550","Bq_per_kg_wet","2001","Perch Cs-137 in Kiev Reservoir (Dnieper km 890; 300 km downstream from Chernobyl); 2001","Below EU limit 1250 Bq/kg; shows effective dilution downstream; however elevated above background; Kiev reservoir serves 9M people water supply","Aquatic ecology; Dnieper downstream monitoring"
"cooling_pond_groundwater_transport","Sr90_contribution_to_Pripyat_total","10","percent","2010","Cooling pond seepage contributed ~10% of total Sr-90 transport by Pripyat River in 2010 (pre-drawdown)","Primary Sr-90 source to Pripyat River was contaminated floodplain soils; cooling pond contributed minor fraction pre-drawdown; post-drawdown fraction increased","Bugai 2022 Sci Rep doi:10.1038/s41598-022-22842-5"
"ISF2_spent_fuel","ISF2_operational_date","2021-04-26","date","2021","ISF-2 Interim Dry Spent Nuclear Fuel Storage Facility obtained operating license April 26 2021 (exact 35th anniversary)","First transportation of spent fuel in operating mode: June 8 2021; co-located adjacent to cooling pond; HOLTEC design; 100-year design life","CHNPP official; NucNet 2020; corium_fcm_physics_REAL.csv"
"ISF2_spent_fuel","assemblies_stored_Jan_2022","1698","fuel_assemblies","2022-01","1698 fuel assemblies stored in ISF-2 as of January 2022; transfer from ISF-1 wet storage ongoing","Design capacity 21217 assemblies; all 4 reactor units' spent fuel to be transferred from wet storage ISF-1 to dry cask ISF-2; ISF-1 (wet) to be decommissioned","CHNPP official; corium_fcm_physics_REAL.csv"
"ISF2_spent_fuel","total_capacity","21217","fuel_assemblies","design","Largest dry spent nuclear fuel storage facility in world (by capacity for single accident/site); HOLTEC HISTORE modular cask system","Each dry cask contains separated fuel assemblies from Chernobyl Units 1-3 (Unit 4 core destroyed); 100-year interim storage until permanent repository","CHNPP; WNA; corium_fcm_physics_REAL.csv"
"ISF2_spent_fuel","ISF2_radiation_isolation","complete","qualitative","2021_onward","ISF-2 dry casks provide multi-barrier containment: fuel matrix + cladding + canister + dry cask + storage building; normal dose rates outside building are background levels","Comparison: ISF-1 (wet storage) required continuous water cooling and monitoring for 35 years; ISF-2 passively safe with no electrical cooling requirement","CHNPP; IAEA nuclear safety"
"downstream_dnieper","Cs137_Dnieper_seasonal_pattern","summer_increase","qualitative","1987_to_2023","Kyiv dam reservoir: seasonal Cs-137 increase in summer; decrease in winter; long-term declining trend; documented in 2025 paper","Root cause: temperature-dependent Cs-137 desorption from bottom sediments in summer; warmer water mobilizes Cs-137 from exchangeable fraction; relevant for water treatment planning in Kiev","J Environ Chem Eng 2025 ScienceDirect doi:10.1016/j.jece.2025 seasonal Cs-137 Kyiv dam"
"downstream_dnieper","Cs137_Dnieper_monitoring_period","1987","year_start","1987_to_2023","28+ years continuous Cs-137 monitoring in Kyiv dam reservoir (serving Kiev water supply for ~9 million people)","Long-term trend: continuing decline; seasonal variation overlaid; 2025 paper documents full time series; no public health concern from current Cs-137 levels in Kiev water supply","J Environ Chem Eng 2025; Ukrainian water monitoring authorities"
