country,year,n_workers_with_recorded_doses,pct_of_total,avg_external_dose_mGy,median_dose_mGy,p75_dose_mGy,p95_dose_mGy,collective_dose_man_Gy,notes,source
Ukraine,dose_>1000mGy,168,0.2,6900,,,,9.7% of collective,168 workers >1000 mGy; average 6900 mGy = 6.9 Gy,UNSCEAR 2008 Table p.83
Ukraine,total,90387,100,132,,,,100%,,UNSCEAR 2008 Table p.83
All countries,dose_<10mGy,23560,9.5,4.6,,,,0.4% of collective,,UNSCEAR 2008 Table p.84
All countries,dose_10-20mGy,12963,5.3,14,,,,0.7% of collective,,UNSCEAR 2008 Table p.84
All countries,dose_20-50mGy,48555,20,39,,,,6.7% of collective,,UNSCEAR 2008 Table p.84
All countries,dose_50-100mGy,63398,26,82,,,,18.4% of collective,,UNSCEAR 2008 Table p.84
All countries,dose_100-200mGy,48006,19,150,,,,25.5% of collective,,UNSCEAR 2008 Table p.84
All countries,dose_200-500mGy,49630,20,240,,,,41.4% of collective,,UNSCEAR 2008 Table p.84
All countries,dose_500-1000mGy,543,0.2,630,,,,1.2% of collective,,UNSCEAR 2008 Table p.84
All countries,dose_>1000mGy,219,0.1,7500,,,,5.7% of collective,219 workers across all countries received >1000 mGy,UNSCEAR 2008 Table p.84
All countries,total_with_records,246874,100,110,,,,100%,246874 of ~526250 total have recorded doses,UNSCEAR 2008 Table p.84
Lithuania,dose_<10mGy,144,2.8,4.9,,,,0.1% of collective,,UNSCEAR 2008 Table p.84
Lithuania,dose_50-100mGy,1699,34,76,,,,23.4% of collective,,UNSCEAR 2008 Table p.84
Lithuania,dose_100-200mGy,1525,30,130,,,,35.6% of collective,,UNSCEAR 2008 Table p.84
Lithuania,dose_200-500mGy,886,17,230,,,,36.2% of collective,,UNSCEAR 2008 Table p.84
Lithuania,total,5069,100,109,,,,100%,,UNSCEAR 2008 Table p.84
duration_dose_correlation,All,mission_<1month,11.3%_of_workers,122mGy_avg,,,,,"Workers on short missions: 11.3% total, 122 mGy avg",UNSCEAR 2008 Table p.82
duration_dose_correlation,All,mission_1-2months,26.8%_of_workers,129mGy_avg,,,,,"Longest effective exposure window",UNSCEAR 2008 Table p.82
duration_dose_correlation,All,mission_2-3months,28.4%_of_workers,117mGy_avg,,,,,,UNSCEAR 2008 Table p.82
duration_dose_correlation,All,mission_3-6months,30.5%_of_workers,85mGy_avg,,,,,,"Longer missions = lower avg dose (safer later conditions)",UNSCEAR 2008 Table p.82
duration_dose_correlation,All,mission_6-12months,1.9%_of_workers,90mGy_avg,,,,,,UNSCEAR 2008 Table p.82
duration_dose_correlation,All,mission_>12months,1.1%_of_workers,97mGy_avg,,,,,,UNSCEAR 2008 Table p.82
