"date","time_UTC","event_type","location","parameter","value","units","notes","source"
"1986-05-03","","measurement","Ireland","milk_I131","441","Bq_per_L","Peak milk contamination in Ireland: 441 Bq/L I-131 on May 5; triggered concern but no national milk ban; Irish action level was 2000 Bq/L","EPA Ireland; Kilkenny Weather"
"1986-05-03","","measurement","Ireland","lamb_Cs137","1155","Bq_per_kg","Lamb samples: 1155 Bq/kg; elevated but monitoring continued","EPA Ireland"
"1986-05-04 to 05-06","","detection","Ireland_Central_Europe","peak_rainfall_deposition","8.5","mm_rainfall_avg","Peak rainfall period May 4-6 (7.9-8.9 mm daily); maximum fallout deposited; 99% of total deposition during this period in some western European locations","OECD-NEA Ch.II; Met Eireann"
"1986-05-05","","measurement","Magdeburg_Germany","grass_I131_after_thunderstorm","75000","Bq_per_kg","Magdeburg Germany: thunderstorm May 5 brought down highly concentrated plume; grass 75000 Bq/kg I-131; storm water 44000 Bq/L; garden soil 40000 Bq/kg; extreme localized deposition","OECD-NEA Ch.VI; BfS; food_agricultural_contamination_REAL.csv"
"1986-05-07","","detection","Ireland","plume_weakening","3.1","mm_rainfall","Weakened plume passed south of Ireland May 7; lower deposition (3.1 mm rain); monitoring continued but lower levels","Met Eireann; EPA Ireland"
"1986-05-09","","source_term","Chernobyl_Unit4","graphite_fire_extinguished","","","Graphite fire extinguished approximately May 9 1986 (some sources say May 5-6); end of major high-altitude release; residual volatilization continued but much reduced","WNA; OECD-NEA Ch.II"
"1986-04-27 to 05-08","","deposition_fraction","Europe_general","dry_vs_wet_deposition","1","percent_dry","Only ~1% deposition in dry form during April 27 to May 8; ~99% deposited during precipitation events; rainfall governed by orders of magnitude where contamination fell; explains patchy deposition pattern","OECD-NEA Ch.II; IRSN atmospheric model"
"1986-05-08","","deposition_event","Specific_European_locations","single_rainfall_99pct_deposit","50","fold_concentration_decrease_over_12hr","Specific locations received 99% of total deposition in single 12-hour rain event May 8; activity concentration in rainwater decreased by factor ~50 from start to end of rain as plume washed out; geographic determinism of rainfall","OECD-NEA Ch.II"
"1986-04-26 to 04-30","","trajectory_region","Scandinavia_Baltic_Benelux","first_plume_path","","","First plume path (Apr 26-30): NW winds carried activity to Scandinavia, Finland, Baltic states, Netherlands, Belgium, UK. Sweden first to detect externally (April 28 Forsmark). Finland, Denmark, Norway detected April 28-29.","OECD-NEA Ch.II; IRSN 2006 retrospective"
"1986-04-29 to 05-05","","trajectory_region","Central_Southern_Europe","second_plume_path","","","Second plume path (Apr 29 - May 5): wind shift carried plume southwestward; Poland, Czech Republic, Austria, southern Germany, Switzerland, northern Italy affected; alpine rainfall caused high deposition in some mountain areas","OECD-NEA Ch.II; IRSN 2006"
"1986-05-01 to 05-10","","trajectory_region","France_UK_Ireland_North_Atlantic","third_plume_path","","","Third plume path (May 1-10): changed wind pattern carried plume westward to France, UK, Ireland; some activity reached North America (trace levels) and Japan (below significance); global dispersion of noble gases (Xe-133 100% released)","OECD-NEA Ch.II; IRSN 2006"
"1986-04-26 to 1986-07","","global_distribution","Northern_hemisphere_global","Xe133_global_dispersion","6500","PBq_released","6500 PBq Xe-133 (noble gas, 100% core release); dispersed globally in ~30 days; detected at monitoring stations worldwide including Japan and USA; no direct dose but used as atmospheric tracer for plume tracking","OECD-NEA Ch.II; WMO"
"1986-04-26 to 1986-08","","isotopic_fingerprint","Europe_monitoring_stations","Cs134_Cs137_ratio","0.57","activity_ratio_May6_1986","Cs-134/Cs-137 activity ratio = 0.57 ± 0.07 (decay-corrected to May 6 1986); characteristic of Unit 4 fuel burnup of ~10 GWd/tU; used to distinguish Chernobyl contamination from weapons testing fallout (testing has different ratio); also used to detect 1986 vs 2017 Ru-106 episode","Kashparov 2020; OECD-NEA Ch.II; Bossew 2001"
